id,source_message_id,source,text
2092,690947053-38022,telegram, насколько я понимаю всем рекомендашкам нужны много много данных чтобы составить матрицы там какие то для определения того по каким признакам рекомендовать кому и что именно хз тут надо ваню олега и толю услышать
8104,1728550269-218,telegram,ну странно что итмо об этом не думает хотя этим многие универы занимаются
5821,730317973-38453,telegram,мы просто пока ограничимся питером допустим и нам нужно всего пару запросов чтобы получить погоду на утро обед и вечер
8030,1728550269-141,telegram,добавил названия таблиц текст сообщения в этой беседе с прикрепл нной таблицы которые точно пригодятся для проверки
6966,1415797768-436,telegram,готово
4133,1154371210-38312,telegram,вот ещ кейсы которые нужно сделать в аватаре
572,251,other,в рамках акции лето в городе в эту субботу июля состоится городской турнир по брейн рингу клуб интеллектуального творчества понедельник приглашает зрителей поболеть за понравившиеся команды в молодежном пространстве лофт игра начнется в 
1595,1267116842-154,telegram,всем привет к нам в команду требуется marketing communications manager вас ждет полноценная работа маркетинг менеджера от выстраивания взаимоотношений со сми и планирования коммуникаций до реализации стратегии большая степень свободы и ответственности мы создаем инновационные продукты платформу для создания ии помощников библиотеку nlp компонент и наша цель сделать их доступными для конечных пользователей для нас важен опыт pr ведения продуктов в it желание разбираться в технологиях подробности вакансии https deeppavlov ai careers tpost u fc pp g marketing communications manager рекомендуйте себя друзей знакомых и партнеров ваши рекомендации и резюме направляйте jobs deeppavlov ai jobs work remote
6767,1415797768-206,telegram,чуть поодаль 
752,431,other,ну и теперь задачи на утро пока мы не формируем обобщенную комплексную характеристику состоятельности эксперта и его мнения даем и в последствии визуализируем частные характеристики указанные в п и 
8254,1728550269-379,telegram,вот здесь основная информация
5651,1522012683-9,telegram,уважаемые студенты университет итмо объявляет конкурс на участие в программе семестрового обмена в рамках международной академической мобильности на весенний семестр конкурс продлится с по дедлайн кто может участвовать все студенты магистры и студенты бакалавриата специалитета начиная со курса как принять участие подать заявку на участие в конкурсе через личный кабинет ису инструкцию вы найдете в приложенных файлах не забудьте приложить свое видео cv cv мотивационное письмо и сертификат о владении иностранным языком как выбрать зарубежный вуз список вузов партнеров университета итмо которые подходят для семестрового обмена вы найдете на https int itmo ru ru education abroad обязательно обсудите свой выбор с руководителем своей образовательной программы не пропустите онлайн встречу посвященную международным возможностям студентов итмо сентября в мы расскажем вс что нужно знать о семестровом обмене краткосрочных программах академической мобильности иностранных языках buddy system а также учиться за границей дома как поехать за границу на целый семестр как получить софинансирование поездки как стать лучшим другом студента иностранца как повысить уровень английского языка прямо в стенах университета итмо приходите на встречу и вс узнаете встреча пройдет в teams что делать если появились вопросы в нашей группе https vk com itmo exchange вы сможете найти ответы на большинство вопросов и много полезной информации удачи отдел международных образовательных программ outgoing itmo ru
1057,724974717-40367,telegram,ну вообще было бы интересно правда
8245,1728550269-369,telegram,все заработало
6732,1415797768-169,telegram,ааа ты тут привет спасибо 
414,93,other,приглашаем вас на праздник микрорайона жд м всех рядом с парком в хорошее настроение гарантируем 
3664,1154371210-36495,telegram,надо будет теперь не статьи а указы президента сравнивать с фронтирами
4606,780658709-31721,telegram,нам говорили прикрепить одним архивом отч т и презентацию
